id,name,seo_name,has_detailed_info,wines_count
809,Cabernet Jura,cabernet-jura,false,255
810,Cabernet Moravia,cabernet-moravia,false,521
811,Cabernet Pfeffer,cabernet-pfeffer,false,112
812,Cabernet Severny,cabernet-severny,false,148
813,Cabertin,cabertin,false,70
814,Cacaboué,cacaboué,false,20
815,Cacamosca,cacamosca,false,15
816,Caddiu,caddiu,false,12
817,Calabrese di Montenuovo,calabrese-di-montenuovo,false,27
818,Calagrano,calagrano,false,15
819,Calandro,calandro,false,13
820,Calitor Noir,calitor-noir,false,13
821,Calkarasi,calkarasi,false,61
822,Caloria,caloria,false,10
823,Camaralet de Lasseube,camaralet-de-lasseube,false,29
824,Camaraou Noir,camaraou-noir,false,6
825,Campbell Early,campbell-early,false,80
826,Canada Muscat,canada-muscat,false,14
827,Canari Noir,canari-noir,false,31
828,Canocazo,canocazo,false,11
829,Caprettone,caprettone,false,40
830,Caracol,caracol,false,16
831,Cargarello,cargarello,false,12
832,Carica L'Asino,carica-lasino,false,19
833,Carlos,carlos,false,48
834,Carmine,carmine,false,61
835,Carminoir,carminoir,false,181
836,Carnelian,carnelian,false,40
837,Carrasquin,carrasquin,false,79
838,Carrega Branco,carrega-branco,false,8
839,Casavecchia,casavecchia,false,105
840,Cascade,cascade,false,12
841,Cascarolo Bianco,cascarola-bianco,false,5
842,Casculho,casculho,false,17
843,Casetta,casetta,false,12
844,Castagnara,castagnara,false,7
845,Castets,castets,false,21
846,Castiglione,castiglione,false,25
847,Catalanesca,catalanesca,false,44
848,Catanese Nero,catanese-nero,false,8
849,Cavrara,cavara,false,15
850,Cavus,cavus,false,61
851,Cayetana Blanca,cayetana-blanca,false,46
852,Centesiminio,centecimino,false,45
853,Centurian,centurian,false,17
854,Cereza,cereza,false,22
855,Cerreto,cerreto,false,40
856,César,cesar,false,60
857,Cetinka,cetinka,false,19
858,Cevat Kara,cevat-kara,false,18
859,Douce Noire,douce-noire,false,29
860,Charentsi,charentsi,false,25
861,Charmont,charmont,false,83
862,Chasan,chasan,false,175
863,Chelois,chelois,false,26
864,Chelva,chelva,false,27
865,Chenanson,chenanson,false,56
866,Chenel,chenel,false,20
867,Chichaud,chichaud,false,10
868,Chidiriotiko,chidiriotiko,false,13
869,Chinuri,chinuri,false,67
870,Chisago,chisago,false,11
871,Chkhaveri,chkhaveri,false,54
872,Chondromavro,chondromavro,false,9
873,Chouchillon,chouchillon,false,7
874,Cianorie,cianorie,false,13
